City,Temperature,Humidity,Climate_Zone
New York,20,70,Temperate
Los Angeles,25,60,Mediterranean
Chicago,15,80,Continental
Miami,30,55,Tropical
London,18,75,Temperate
Tokyo,28,65,Subtropical
Sydney,22,68,Mediterranean
Moscow,10,85,Continental
Rio de Janeiro,32,50,Tropical
Paris,19,72,Temperate
Rome,26,62,Mediterranean
Toronto,16,78,Continental
Bangkok,34,48,Tropical
Berlin,17,73,Temperate
Madrid,27,61,Mediterranean
Montreal,14,82,Continental
Singapore,33,52,Tropical
Amsterdam,19,71,Temperate
Barcelona,29,59,Mediterranean
Vancouver,13,84,Continental
Cairo,35,45,Tropical
Stockholm,16,76,Temperate
Melbourne,23,67,Mediterranean
Oslo,11,83,Continental
Mumbai,31,53,Tropical
Dublin,18,74,Temperate
Lisbon,28,63,Mediterranean
Calgary,12,81,Continental
Manila,36,47,Tropical
